ts,current,diff,running_total
2019-12-09 20:49:16,530476,10896,10896
2019-12-09 20:49:36,542316,11840,22736
2019-12-09 20:49:57,543112,796,23532
2019-12-09 20:50:17,555956,12844,36376
2019-12-09 20:50:37,566224,10268,46644
2019-12-09 20:50:57,571680,5456,52100
2019-12-09 20:51:17,580628,8948,61048
2019-12-09 20:51:37,704732,124104,185152
2019-12-09 20:51:57,805900,101168,286320
2019-12-09 20:52:17,907528,101628,387948
2019-12-09 20:52:37,995032,87504,475452
2019-12-09 20:52:57,1115000,119968,595420
2019-12-09 20:53:17,1159744,44744,640164
2019-12-09 20:53:37,1183728,23984,664148
2019-12-09 20:53:57,1187988,4260,668408
2019-12-09 20:54:17,1226056,38068,706476
2019-12-09 20:54:37,1231488,5432,711908
2019-12-09 20:54:57,1251500,20012,731920
2019-12-09 20:55:17,1253056,1556,733476
2019-12-09 20:55:37,1304436,51380,784856
2019-12-09 20:55:57,1330620,26184,811040
2019-12-09 20:56:17,1347432,16812,827852
2019-12-09 20:56:37,1363000,15568,843420
2019-12-09 20:56:58,1372036,9036,852456
2019-12-09 20:57:18,1377032,4996,857452
2019-12-09 20:57:38,1387872,10840,868292
2019-12-09 20:57:58,1427604,39732,908024
2019-12-09 20:58:18,1431052,3448,911472
2019-12-09 20:58:38,1440820,9768,921240
2019-12-09 20:58:58,1443196,2376,923616
2019-12-09 20:59:18,1474048,30852,954468
2019-12-09 20:59:38,1479500,5452,959920
2019-12-09 20:59:58,1491032,11532,971452
2019-12-09 21:00:18,1495656,4624,976076
2019-12-09 21:00:38,1502548,6892,982968
2019-12-09 21:00:58,1504948,2400,985368
2019-12-09 21:01:18,1516904,11956,997324
2019-12-09 21:01:38,1517832,928,998252
2019-12-09 21:01:58,1535084,17252,1015504
2019-12-09 21:02:18,1548540,13456,1028960
2019-12-09 21:02:38,1552668,4128,1033088
2019-12-09 21:02:58,1583348,30680,1063768
2019-12-09 21:03:18,1626268,42920,1106688
2019-12-09 21:03:39,1654388,28120,1134808
2019-12-09 21:03:59,1656608,2220,1137028
2019-12-09 21:04:19,1684052,27444,1164472
2019-12-09 21:04:39,1685460,1408,1165880
2019-12-09 21:04:59,1697908,12448,1178328
2019-12-09 21:05:19,1698176,268,1178596
2019-12-09 21:05:39,1704988,6812,1185408
2019-12-09 21:05:59,1727816,22828,1208236
2019-12-09 21:06:19,1728316,500,1208736
2019-12-09 21:06:39,1730744,2428,1211164
2019-12-09 21:06:59,1733060,2316,1213480
2019-12-09 21:07:19,1741776,8716,1222196
2019-12-09 21:07:39,1744128,2352,1224548
2019-12-09 21:07:59,1750888,6760,1231308
2019-12-09 21:08:19,1750996,108,1231416
2019-12-09 21:08:39,1768748,17752,1249168
2019-12-09 21:08:59,1790616,21868,1271036
2019-12-09 21:09:19,1790760,144,1271180
2019-12-09 21:09:39,1799528,8768,1279948
2019-12-09 21:09:59,1801712,2184,1282132
2019-12-09 21:10:19,1817920,16208,1298340
2019-12-09 21:10:40,1822288,4368,1302708
2019-12-09 21:11:00,1839768,17480,1320188
2019-12-09 21:11:20,1842604,2836,1323024
2019-12-09 21:11:40,1849948,7344,1330368
2019-12-09 21:12:00,1858596,8648,1339016
2019-12-09 21:12:20,1858596,0,1339016
2019-12-09 21:12:40,1858832,236,1339252
2019-12-09 21:13:00,1859048,216,1339468
2019-12-09 21:13:20,1861096,2048,1341516
2019-12-09 21:13:40,1865684,4588,1346104
2019-12-09 21:14:00,1867756,2072,1348176
2019-12-09 21:14:20,1886288,18532,1366708
2019-12-09 21:14:40,1886316,28,1366736
2019-12-09 21:15:00,1888512,2196,1368932
2019-12-09 21:15:20,1900168,11656,1380588
2019-12-09 21:15:40,1951384,51216,1431804
2019-12-09 21:16:00,1994044,42660,1474464
2019-12-09 21:16:20,2028124,34080,1508544
2019-12-09 21:16:40,2032932,4808,1513352
2019-12-09 21:17:00,2039704,6772,1520124
2019-12-09 21:17:20,2039920,216,1520340
2019-12-09 21:17:40,2050380,10460,1530800
2019-12-09 21:18:01,2052640,2260,1533060
2019-12-09 21:18:21,2052992,352,1533412
2019-12-09 21:18:41,2062732,9740,1543152
2019-12-09 21:19:01,2065000,2268,1545420
